time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,age_group,population_estimate
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Children aged 0 to 17 years,69047
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Children aged 0 to 17 years,59375
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Children aged 0 to 17 years,58361
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Children aged 0 to 17 years,74077
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Children aged 0 to 17 years,65232
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Children aged 0 to 17 years,39528
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Children aged 0 to 17 years,47409
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Children aged 0 to 17 years,76247
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Children aged 0 to 17 years,45865
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Children aged 0 to 17 years,48463
2019,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Children aged 0 to 17 years,66757
2018,Reporting year,National,E92000001,England,,,,,,Children aged 0 to 17 years,11954620
2018,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Children aged 0 to 17 years,529680
2018,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Children aged 0 to 17 years,1553150
2018,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Children aged 0 to 17 years,1165390
2018,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Children aged 0 to 17 years,996350
2018,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Children aged 0 to 17 years,1292340
2018,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Children aged 0 to 17 years,1335880
2018,Reporting year,Regional,E92000001,England,E12000007,London,,,,Children aged 0 to 17 years,2022020
2018,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Children aged 0 to 17 years,1957500
2018,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Children aged 0 to 17 years,1102320
