time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,Category,CPP_start,CPP_start_rate,CPP_child_start,CPP_child_start_rate,CPP_end,CPP_end_rate,CPP_child_end,CPP_child_end_rate,CPP_anypoint,CPP_anypoint_rate,CPP_child_anypoint,CPP_child_anypoint_rate,CPP_At31,CPP_At31_rate
2020,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Child Protection Plans,178,44,177,43.8,164,40.6,162,40.1,306,75.7,302,74.7,142,35.1
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Child Protection Plans,137,37.8,137,37.8,94,25.9,94,25.9,228,62.9,225,62.1,134,37
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,Bournemouth Christchurch and Poole,Child Protection Plans,339,44.9,339,44.9,346,45.8,343,45.4,572,75.7,563,74.5,226,29.9
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,Bristol City of,Child Protection Plans,423,44.9,423,44.9,475,50.5,475,50.5,771,81.9,769,81.7,296,31.4
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Child Protection Plans,471,43.4,471,43.4,504,46.4,502,46.3,918,84.6,912,84,414,38.2
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Child Protection Plans,635,43.2,632,43,618,42.1,617,42,1116,76,1107,75.4,498,33.9
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Child Protection Plans,393,57.9,389,57.3,424,62.5,415,61.1,700,103.1,681,100.3,276,40.7
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Child Protection Plans,952,73.8,949,73.6,998,77.4,996,77.3,1715,133,1685,130.7,717,55.6
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Child Protection Plans,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Child Protection Plans,118,27,118,27,169,38.7,169,38.7,259,59.3,257,58.8,90,20.6
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Child Protection Plans,333,63,333,63,278,52.6,278,52.6,588,111.2,582,110,310,58.6
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Child Protection Plans,270,24.3,270,24.3,394,35.4,391,35.2,672,60.4,668,60.1,278,25
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,803,E06000025,South Gloucestershire,Child Protection Plans,259,43.7,259,43.7,244,41.2,244,41.2,452,76.3,449,75.8,208,35.1
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,866,E06000030,Swindon,Child Protection Plans,233,46.3,232,46.1,403,80,400,79.4,572,113.6,567,112.6,169,33.6
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,880,E06000027,Torbay,Child Protection Plans,289,113.1,289,113.1,280,109.6,279,109.2,472,184.7,471,184.3,192,75.1
2020,Reporting year,Local authority,E92000001,England,E12000009,South West,865,E06000054,Wiltshire,Child Protection Plans,479,45.2,478,45.1,512,48.3,511,48.2,878,82.8,867,81.7,366,34.5
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,202,E09000007,Camden,Child Protection Plans,266,50.8,264,50.4,317,60.5,317,60.5,587,112,582,111.1,270,51.5
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,201,E09000001,City of London,Child Protection Plans,c,c,c,c,c,c,c,c,8,49.4,8,49.4,c,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,204,E09000012,Hackney,Child Protection Plans,374,58.6,374,58.6,317,49.6,317,49.6,562,88,562,88,245,38.4
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,205,E09000013,Hammersmith and Fulham,Child Protection Plans,172,46.4,169,45.6,192,51.8,192,51.8,333,89.9,328,88.6,141,38.1
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,309,E09000014,Haringey,Child Protection Plans,222,37.1,222,37.1,248,41.4,248,41.4,401,67,399,66.7,153,25.6
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,206,E09000019,Islington,Child Protection Plans,202,47.6,202,47.6,190,44.8,188,44.3,389,91.7,385,90.8,199,46.9
