time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Referrals,Individual,Schools,Education_Services,Health_Services,Housing,LA_Services,Police,Other_legal_agency,Other,Anonymous,Unknown
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,207,E09000020,Kensington and Chelsea,Source of referral,2427,143,194,38,499,24,227,1110,32,114,46,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,208,E09000022,Lambeth,Source of referral,3464,201,423,44,737,55,377,1304,111,192,20,0
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,209,E09000023,Lewisham,Source of referral,4036,58,428,347,584,37,480,1111,32,949,c,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,316,E09000025,Newham,Source of referral,4844,184,1071,12,773,25,865,1303,146,260,15,190
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,210,E09000028,Southwark,Source of referral,3579,157,678,c,800,37,529,1090,78,166,30,c
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,211,E09000030,Tower Hamlets,Source of referral,5152,152,1114,35,895,34,631,1804,123,191,29,144
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,212,E09000032,Wandsworth,Source of referral,3771,189,776,25,600,9,651,1224,40,223,14,20
2020,Reporting year,Local authority,E92000001,England,E13000001,Inner London,213,E09000033,Westminster,Source of referral,2012,161,295,39,415,33,197,639,48,14,53,118
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,301,E09000002,Barking and Dagenham,Source of referral,3571,198,761,35,611,38,571,1037,160,104,49,7
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,302,E09000003,Barnet,Source of referral,2814,120,664,38,440,35,491,794,110,96,12,14
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,303,E09000004,Bexley,Source of referral,2795,197,496,45,416,28,436,875,116,90,45,51
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,304,E09000005,Brent,Source of referral,3993,206,942,42,665,186,507,1036,135,259,15,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,305,E09000006,Bromley,Source of referral,3829,175,766,21,720,22,491,1322,100,153,59,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,306,E09000008,Croydon,Source of referral,5345,628,977,0,650,11,957,1594,241,241,34,12
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,307,E09000009,Ealing,Source of referral,5331,357,1201,11,945,90,693,1700,122,178,34,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,308,E09000010,Enfield,Source of referral,7471,479,1540,24,956,94,768,2386,687,457,80,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,203,E09000011,Greenwich,Source of referral,3451,152,832,c,900,61,246,1008,70,101,42,c
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,310,E09000015,Harrow,Source of referral,2508,152,719,c,435,c,228,807,28,67,13,45
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,311,E09000016,Havering,Source of referral,2843,121,569,40,408,118,569,803,92,100,23,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,312,E09000017,Hillingdon,Source of referral,4000,180,890,59,661,46,415,1343,167,188,51,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,313,E09000018,Hounslow,Source of referral,2891,173,674,24,400,17,380,999,64,144,10,6
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,314,E09000021,Kingston upon Thames,Source of referral,1411,88,267,c,205,c,331,424,30,46,0,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,315,E09000024,Merton,Source of referral,1814,122,400,50,359,15,163,536,57,80,17,15
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,317,E09000026,Redbridge,Source of referral,5212,432,1490,c,752,c,576,1394,118,368,49,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,318,E09000027,Richmond upon Thames,Source of referral,1274,77,233,8,172,c,272,413,26,62,c,0
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,319,E09000029,Sutton,Source of referral,2898,100,713,35,601,34,346,889,64,56,43,17
2020,Reporting year,Local authority,E92000001,England,E13000002,Outer London,320,E09000031,Waltham Forest,Source of referral,4165,242,862,19,661,39,672,1234,85,216,135,0
2019,Reporting year,National,E92000001,England,,,,,,Source of referral,650930,51950,117190,15580,95070,8540,86810,189910,23780,35780,15580,10730
2019,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Source of referral,34680,2540,4480,1400,5630,440,4540,11160,1170,2090,1010,220
2019,Reporting year,Regional,E92000001,England,E12000002,North West,,,,Source of referral,90740,7030,16040,1170,12100,1390,12450,27060,3600,5310,2160,2430
2019,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and the Humber,,,,Source of referral,72240,6590,10150,3580,9850,850,9470,22000,3130,3880,2380,360
2019,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,Source of referral,57790,5980,10650,820,8620,740,8840,15260,2250,2170,1220,1260
2019,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,Source of referral,76650,5910,13230,3010,10610,950,8020,21660,3190,5270,2760,2030
2019,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,Source of referral,48620,4090,7990,1460,7410,760,7330,13290,1820,2530,1150,800
2019,Reporting year,Regional,E92000001,England,E12000007,London,,,,Source of referral,110710,6160,23460,1050,18710,1190,15560,34030,3670,5310,1010,570
2019,Reporting year,Regional,E92000001,England,E12000008,South East,,,,Source of referral,104890,8520,21040,1200,13610,1540,12630,31840,3550,6460,1870,2630
2019,Reporting year,Regional,E92000001,England,E12000009,South West,,,,Source of referral,54620,5140,10140,1890,8550,680,7980,13620,1390,2770,2020,430
2019,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,Source of referral,43510,2040,8190,620,7770,520,6710,13710,1060,2260,220,430
2019,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,Source of referral,67200,4120,15270,430,10940,680,8860,20320,2620,3050,790,140
