time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,category,Section47,Section47_rate,Section47_child,Section47_child_rate,ICPC,ICPC_rate,ICPC_child,ICPC_child_rate,Duration_0-10_days,Duration_11-15_days,Duration_16-20_days,Duration_21+_days,Duration_25th_Percentile,Duration_median,Duration_75th_Percentile
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,938,E10000032,West Sussex,Section 47s and Initial Child Protection Conferences,3501,197.4,2941,165.8,1054,59.4,1028,58,71,740,88,155,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,Section 47s and Initial Child Protection Conferences,706,203.6,601,173.3,218,62.9,211,60.8,25,147,17,29,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,Section 47s and Initial Child Protection Conferences,640,155.1,524,127,212,51.4,210,50.9,20,147,32,13,13,13,15
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,800,E06000022,Bath and North East Somerset,Section 47s and Initial Child Protection Conferences,362,98.7,309,84.3,149,40.6,146,39.8,7,82,31,29,13,15,20
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,839,E06000058,"Bournemouth, Christchurch and Poole",Section 47s and Initial Child Protection Conferences,1845,241.6,1576,206.4,740,96.9,726,95.1,103,513,46,78,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,801,E06000023,"Bristol, City of",Section 47s and Initial Child Protection Conferences,739,78.3,681,72.1,357,37.8,355,37.6,76,215,27,39,11,13,14
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,908,E06000052,Cornwall,Section 47s and Initial Child Protection Conferences,1862,170.9,1662,152.5,543,49.8,540,49.6,36,381,50,76,12,14,14
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,878,E10000008,Devon,Section 47s and Initial Child Protection Conferences,2655,179.3,2313,156.2,862,58.2,850,57.4,35,486,169,172,14,15,19
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,838,E06000059,Dorset,Section 47s and Initial Child Protection Conferences,1150,169.9,986,145.6,550,81.2,526,77.7,27,467,26,30,13,14,15
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,916,E10000013,Gloucestershire,Section 47s and Initial Child Protection Conferences,3092,238.7,2561,197.7,1210,93.4,1188,91.7,60,855,152,143,14,15,15
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,420,E06000053,Isles of Scilly,Section 47s and Initial Child Protection Conferences,c,c,c,c,c,c,c,c,c,0,0,0,3,3,3
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,802,E06000024,North Somerset,Section 47s and Initial Child Protection Conferences,297,67.8,255,58.2,128,29.2,122,27.8,c,c,0,0,12,14,15
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,879,E06000026,Plymouth,Section 47s and Initial Child Protection Conferences,1327,249,1143,214.5,446,83.7,443,83.1,71,251,89,35,12,14,16
2022,Reporting year,Local authority,E92000001,England,E12000009,South West,933,E10000027,Somerset,Section 47s and Initial Child Protection Conferences,923,82.9,826,74.2,388,34.9,388,34.9,62,315,c,c,11,13,14
