time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,characteristic_age,Total_st,Total_st_pc,Total_ehc,Total_ehc_pc,Total_all,Total_all_pc
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,821,E06000032,Luton,Total,z,z,2043,100,2043,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,822,E06000055,Bedford,Total,z,z,1486,100,1486,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,823,E06000056,Central Bedfordshire,Total,z,z,2546,100,2546,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,873,E10000003,Cambridgeshire,Total,z,z,6100,100,6100,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,874,E06000031,Peterborough,Total,z,z,2207,100,2207,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,881,E10000012,Essex,Total,z,z,11092,100,11092,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,882,E06000033,Southend-on-Sea,Total,z,z,1443,100,1443,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,883,E06000034,Thurrock,Total,z,z,1906,100,1906,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,919,E10000015,Hertfordshire,Total,z,z,9422,100,9422,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,926,E10000020,Norfolk,Total,z,z,8671,100,8671,100
2022,Calendar year,Local authority,E92000001,England,E12000006,East of England,935,E10000029,Suffolk,Total,z,z,6347,100,6347,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,201,E09000001,City of London,Total,z,z,19,100,19,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,202,E09000007,Camden,Total,z,z,1440,100,1440,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,203,E09000011,Greenwich,Total,z,z,2180,100,2180,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,204,E09000012,Hackney,Total,z,z,3062,100,3062,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,205,E09000013,Hammersmith and Fulham,Total,z,z,1205,100,1205,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,206,E09000019,Islington,Total,z,z,1634,100,1634,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,207,E09000020,Kensington and Chelsea,Total,z,z,746,100,746,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,208,E09000022,Lambeth,Total,z,z,2940,100,2940,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,209,E09000023,Lewisham,Total,z,z,3231,100,3231,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,210,E09000028,Southwark,Total,z,z,2783,100,2783,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,211,E09000030,Tower Hamlets,Total,z,z,3464,100,3464,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,212,E09000032,Wandsworth,Total,z,z,2680,100,2680,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,213,E09000033,Westminster,Total,z,z,1338,100,1338,100
2022,Calendar year,Local authority,E92000001,England,E12000007,London,301,E09000002,Barking and Dagenham,Total,z,z,1874,100,1874,100
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,Under 5,z,z,53,3.68311,53,3.68311
2022,Calendar year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,Under 5,z,z,83,3.98273,83,3.98273
